"","dt","LandAverageTemperature","LandAverageTemperatureUncertainty","LandMaxTemperature","LandMaxTemperatureUncertainty","LandMinTemperature","LandMinTemperatureUncertainty","LandAndOceanAverageTemperature","LandAndOceanAverageTemperatureUncertainty","Country"
"39","1753-03-01",5.424,2.929,NA,NA,NA,NA,NA,NA,"Global"
"40","1753-04-01",8.272,3.177,NA,NA,NA,NA,NA,NA,"Global"
"41","1753-05-01",12.186,3.111,NA,NA,NA,NA,NA,NA,"Global"
"42","1753-06-01",14.585,2.59,NA,NA,NA,NA,NA,NA,"Global"
"43","1753-07-01",15.092,1.929,NA,NA,NA,NA,NA,NA,"Global"
"44","1753-08-01",14.148,2.453,NA,NA,NA,NA,NA,NA,"Global"
"45","1753-09-01",13.322,2.538,NA,NA,NA,NA,NA,NA,"Global"
"46","1753-10-01",8.962,2.585,NA,NA,NA,NA,NA,NA,"Global"
"47","1753-11-01",5.353,2.807,NA,NA,NA,NA,NA,NA,"Global"
"48","1753-12-01",0.559,4.174,NA,NA,NA,NA,NA,NA,"Global"
"49","1754-01-01",1.574,5.02,NA,NA,NA,NA,NA,NA,"Global"
"50","1754-02-01",-1.249,7.492,NA,NA,NA,NA,NA,NA,"Global"
"51","1754-03-01",3.677,3.336,NA,NA,NA,NA,NA,NA,"Global"
"52","1754-04-01",11.61,3.293,NA,NA,NA,NA,NA,NA,"Global"
"53","1754-05-01",11.936,3.937,NA,NA,NA,NA,NA,NA,"Global"
"54","1754-06-01",14.388,3.366,NA,NA,NA,NA,NA,NA,"Global"
"55","1754-07-01",14.681,2.401,NA,NA,NA,NA,NA,NA,"Global"
"56","1754-08-01",13.556,1.892,NA,NA,NA,NA,NA,NA,"Global"
"57","1754-09-01",11.129,2.318,NA,NA,NA,NA,NA,NA,"Global"
"58","1754-10-01",9.582,2.529,NA,NA,NA,NA,NA,NA,"Global"
"59","1754-11-01",6.161,3.048,NA,NA,NA,NA,NA,NA,"Global"
"60","1754-12-01",4.587,3.299,NA,NA,NA,NA,NA,NA,"Global"
"61","1755-01-01",1.067,4.693,NA,NA,NA,NA,NA,NA,"Global"
"62","1755-02-01",-0.108,5.857,NA,NA,NA,NA,NA,NA,"Global"
"63","1755-03-01",3.607,3.909,NA,NA,NA,NA,NA,NA,"Global"
"64","1755-04-01",9.263,3.372,NA,NA,NA,NA,NA,NA,"Global"
"65","1755-05-01",12.881,4.151,NA,NA,NA,NA,NA,NA,"Global"
"66","1755-06-01",15.38,5.322,NA,NA,NA,NA,NA,NA,"Global"
"67","1755-07-01",14.397,1.936,NA,NA,NA,NA,NA,NA,"Global"
"68","1755-08-01",13.515,2.381,NA,NA,NA,NA,NA,NA,"Global"
"69","1755-09-01",11.773,3.416,NA,NA,NA,NA,NA,NA,"Global"
"70","1755-10-01",9.97,3.931,NA,NA,NA,NA,NA,NA,"Global"
"71","1755-11-01",5.958,4.021,NA,NA,NA,NA,NA,NA,"Global"
"72","1755-12-01",2.564,3.215,NA,NA,NA,NA,NA,NA,"Global"
"73","1756-01-01",3.887,3.513,NA,NA,NA,NA,NA,NA,"Global"
"74","1756-02-01",5.666,4.265,NA,NA,NA,NA,NA,NA,"Global"
"75","1756-03-01",4.192,5.574,NA,NA,NA,NA,NA,NA,"Global"
"76","1756-04-01",10.042,3.752,NA,NA,NA,NA,NA,NA,"Global"
"77","1756-05-01",14.164,2.608,NA,NA,NA,NA,NA,NA,"Global"
"78","1756-06-01",14.547,3.213,NA,NA,NA,NA,NA,NA,"Global"
"79","1756-07-01",13.906,2.192,NA,NA,NA,NA,NA,NA,"Global"
"80","1756-08-01",13.437,2.175,NA,NA,NA,NA,NA,NA,"Global"
"81","1756-09-01",12.652,2.954,NA,NA,NA,NA,NA,NA,"Global"
"82","1756-10-01",7.312,2.201,NA,NA,NA,NA,NA,NA,"Global"
"83","1756-11-01",4.225,2.86,NA,NA,NA,NA,NA,NA,"Global"
"84","1756-12-01",2.165,3.841,NA,NA,NA,NA,NA,NA,"Global"
"85","1757-01-01",-0.276,4.022,NA,NA,NA,NA,NA,NA,"Global"
"86","1757-02-01",3.704,4.261,NA,NA,NA,NA,NA,NA,"Global"
"87","1757-03-01",4.529,3.638,NA,NA,NA,NA,NA,NA,"Global"
"88","1757-04-01",8.246,4.304,NA,NA,NA,NA,NA,NA,"Global"
"89","1757-05-01",13.039,4.98,NA,NA,NA,NA,NA,NA,"Global"
"90","1757-06-01",17.115,4.59,NA,NA,NA,NA,NA,NA,"Global"
"91","1757-07-01",17.61,4.322,NA,NA,NA,NA,NA,NA,"Global"
"92","1757-08-01",17.91,4.035,NA,NA,NA,NA,NA,NA,"Global"
"93","1757-09-01",14.852,3.189,NA,NA,NA,NA,NA,NA,"Global"
"94","1757-10-01",6.482,3.173,NA,NA,NA,NA,NA,NA,"Global"
"95","1757-11-01",4.032,2.643,NA,NA,NA,NA,NA,NA,"Global"
"96","1757-12-01",1.021,5.155,NA,NA,NA,NA,NA,NA,"Global"
"97","1758-01-01",-1.503,7.349,NA,NA,NA,NA,NA,NA,"Global"
"98","1758-02-01",0.806,3.753,NA,NA,NA,NA,NA,NA,"Global"
"99","1758-03-01",3.765,3.368,NA,NA,NA,NA,NA,NA,"Global"
"100","1758-04-01",7.21,2.986,NA,NA,NA,NA,NA,NA,"Global"
"101","1758-05-01",9.715,3.091,NA,NA,NA,NA,NA,NA,"Global"
"102","1758-06-01",13.139,2.055,NA,NA,NA,NA,NA,NA,"Global"
"103","1758-07-01",13.847,3.608,NA,NA,NA,NA,NA,NA,"Global"
"104","1758-08-01",11.818,2.979,NA,NA,NA,NA,NA,NA,"Global"
"105","1758-09-01",10.028,2.347,NA,NA,NA,NA,NA,NA,"Global"
"106","1758-10-01",1.894,2.332,NA,NA,NA,NA,NA,NA,"Global"
"107","1758-11-01",6.955,3.243,NA,NA,NA,NA,NA,NA,"Global"
"108","1758-12-01",3.249,3.244,NA,NA,NA,NA,NA,NA,"Global"
"109","1759-01-01",5.014,3.673,NA,NA,NA,NA,NA,NA,"Global"
"110","1759-02-01",4.082,5.966,NA,NA,NA,NA,NA,NA,"Global"
"111","1759-03-01",4.52,3.958,NA,NA,NA,NA,NA,NA,"Global"
"112","1759-04-01",5.983,3.159,NA,NA,NA,NA,NA,NA,"Global"
"113","1759-05-01",10.189,2.503,NA,NA,NA,NA,NA,NA,"Global"
"114","1759-06-01",13.512,2.232,NA,NA,NA,NA,NA,NA,"Global"
"115","1759-07-01",12.526,2.65,NA,NA,NA,NA,NA,NA,"Global"
"116","1759-08-01",14.587,5.626,NA,NA,NA,NA,NA,NA,"Global"
"117","1759-09-01",12.626,3.235,NA,NA,NA,NA,NA,NA,"Global"
"118","1759-10-01",8.267,2.983,NA,NA,NA,NA,NA,NA,"Global"
"119","1759-11-01",4.268,3.167,NA,NA,NA,NA,NA,NA,"Global"
"120","1759-12-01",0.247,4.995,NA,NA,NA,NA,NA,NA,"Global"
"121","1760-01-01",-0.811,4.567,NA,NA,NA,NA,NA,NA,"Global"
"122","1760-02-01",2.436,3.535,NA,NA,NA,NA,NA,NA,"Global"
"123","1760-03-01",1.864,4.666,NA,NA,NA,NA,NA,NA,"Global"
"124","1760-04-01",7.436,2.669,NA,NA,NA,NA,NA,NA,"Global"
"125","1760-05-01",10.661,1.857,NA,NA,NA,NA,NA,NA,"Global"
"126","1760-06-01",11.945,2.14,NA,NA,NA,NA,NA,NA,"Global"
"127","1760-07-01",12.887,2.567,NA,NA,NA,NA,NA,NA,"Global"
"128","1760-08-01",13.917,2.789,NA,NA,NA,NA,NA,NA,"Global"
"129","1760-09-01",11.197,3.865,NA,NA,NA,NA,NA,NA,"Global"
"130","1760-10-01",6.701,3.422,NA,NA,NA,NA,NA,NA,"Global"
"131","1760-11-01",5.436,2.348,NA,NA,NA,NA,NA,NA,"Global"
"132","1760-12-01",2.553,2.642,NA,NA,NA,NA,NA,NA,"Global"
"133","1761-01-01",0.6,4.779,NA,NA,NA,NA,NA,NA,"Global"
"134","1761-02-01",2.735,3.775,NA,NA,NA,NA,NA,NA,"Global"
"135","1761-03-01",5.976,3.225,NA,NA,NA,NA,NA,NA,"Global"
"136","1761-04-01",7.321,1.652,NA,NA,NA,NA,NA,NA,"Global"
"137","1761-05-01",13.451,1.709,NA,NA,NA,NA,NA,NA,"Global"
"138","1761-06-01",16.821,3.166,NA,NA,NA,NA,NA,NA,"Global"
"139","1761-07-01",19.021,2.696,NA,NA,NA,NA,NA,NA,"Global"
"140","1761-08-01",15.331,2.013,NA,NA,NA,NA,NA,NA,"Global"
"141","1761-09-01",12.535,4.075,NA,NA,NA,NA,NA,NA,"Global"
"142","1761-10-01",7.227,3.932,NA,NA,NA,NA,NA,NA,"Global"
"143","1761-11-01",5.089,2.248,NA,NA,NA,NA,NA,NA,"Global"
"144","1761-12-01",-0.837,4.468,NA,NA,NA,NA,NA,NA,"Global"
"145","1762-01-01",6.866,3.776,NA,NA,NA,NA,NA,NA,"Global"
"146","1762-02-01",4.801,7.88,NA,NA,NA,NA,NA,NA,"Global"
"147","1762-03-01",3.528,4.139,NA,NA,NA,NA,NA,NA,"Global"
"148","1762-04-01",9.019,2.199,NA,NA,NA,NA,NA,NA,"Global"
"149","1762-05-01",10.881,3.044,NA,NA,NA,NA,NA,NA,"Global"
"150","1762-06-01",13.499,3.311,NA,NA,NA,NA,NA,NA,"Global"
"151","1762-07-01",14.72,1.966,NA,NA,NA,NA,NA,NA,"Global"
"152","1762-08-01",13.992,3.329,NA,NA,NA,NA,NA,NA,"Global"
"153","1762-09-01",10.326,3.226,NA,NA,NA,NA,NA,NA,"Global"
"154","1762-10-01",6.156,2.879,NA,NA,NA,NA,NA,NA,"Global"
"155","1762-11-01",6.367,3.354,NA,NA,NA,NA,NA,NA,"Global"
"156","1762-12-01",3.123,3.188,NA,NA,NA,NA,NA,NA,"Global"
"157","1763-01-01",1.369,6.415,NA,NA,NA,NA,NA,NA,"Global"
"158","1763-02-01",0.771,4.102,NA,NA,NA,NA,NA,NA,"Global"
"159","1763-03-01",1.576,4.635,NA,NA,NA,NA,NA,NA,"Global"
"160","1763-04-01",7.871,2.275,NA,NA,NA,NA,NA,NA,"Global"
"161","1763-05-01",10.701,2.736,NA,NA,NA,NA,NA,NA,"Global"
"162","1763-06-01",12.271,2.224,NA,NA,NA,NA,NA,NA,"Global"
"163","1763-07-01",16.391,1.754,NA,NA,NA,NA,NA,NA,"Global"
"164","1763-08-01",14.126,2.157,NA,NA,NA,NA,NA,NA,"Global"
"165","1763-09-01",11.378,2.827,NA,NA,NA,NA,NA,NA,"Global"
"166","1763-10-01",5.535,2.961,NA,NA,NA,NA,NA,NA,"Global"
"167","1763-11-01",4.588,2.08,NA,NA,NA,NA,NA,NA,"Global"
"168","1763-12-01",3.384,3.653,NA,NA,NA,NA,NA,NA,"Global"
"169","1764-01-01",1.741,3.628,NA,NA,NA,NA,NA,NA,"Global"
"170","1764-02-01",6.162,2.868,NA,NA,NA,NA,NA,NA,"Global"
"171","1764-03-01",5.521,2.488,NA,NA,NA,NA,NA,NA,"Global"
"172","1764-04-01",7.88,3.159,NA,NA,NA,NA,NA,NA,"Global"
"173","1764-05-01",11.175,4.55,NA,NA,NA,NA,NA,NA,"Global"
"174","1764-06-01",11.723,1.707,NA,NA,NA,NA,NA,NA,"Global"
"175","1764-07-01",12.507,3.256,NA,NA,NA,NA,NA,NA,"Global"
"176","1764-08-01",12.282,1.259,NA,NA,NA,NA,NA,NA,"Global"
"177","1764-09-01",10.696,2.236,NA,NA,NA,NA,NA,NA,"Global"
"178","1764-10-01",10.011,2.515,NA,NA,NA,NA,NA,NA,"Global"
"179","1764-11-01",5.791,2.828,NA,NA,NA,NA,NA,NA,"Global"
"180","1764-12-01",5.315,2.809,NA,NA,NA,NA,NA,NA,"Global"
"181","1765-01-01",3.78,4.928,NA,NA,NA,NA,NA,NA,"Global"
"182","1765-02-01",3.832,3.156,NA,NA,NA,NA,NA,NA,"Global"
"183","1765-03-01",6.859,2.442,NA,NA,NA,NA,NA,NA,"Global"
"184","1765-04-01",9.013,1.448,NA,NA,NA,NA,NA,NA,"Global"
"185","1765-05-01",10.734,1.928,NA,NA,NA,NA,NA,NA,"Global"
"186","1765-06-01",10.833,1.453,NA,NA,NA,NA,NA,NA,"Global"
"187","1765-07-01",13.953,2.375,NA,NA,NA,NA,NA,NA,"Global"
"188","1765-08-01",13.12,1.872,NA,NA,NA,NA,NA,NA,"Global"
"189","1765-09-01",10.993,1.705,NA,NA,NA,NA,NA,NA,"Global"
"190","1765-10-01",7.904,1.533,NA,NA,NA,NA,NA,NA,"Global"
"191","1765-11-01",5.603,3.737,NA,NA,NA,NA,NA,NA,"Global"
"192","1765-12-01",2.399,2.556,NA,NA,NA,NA,NA,NA,"Global"
"193","1766-01-01",-0.793,4.766,NA,NA,NA,NA,NA,NA,"Global"
"194","1766-02-01",4.896,3.741,NA,NA,NA,NA,NA,NA,"Global"
"195","1766-03-01",6.062,2.802,NA,NA,NA,NA,NA,NA,"Global"
"196","1766-04-01",8.007,2.084,NA,NA,NA,NA,NA,NA,"Global"
"197","1766-05-01",11.228,1.555,NA,NA,NA,NA,NA,NA,"Global"
"198","1766-06-01",13.653,3.745,NA,NA,NA,NA,NA,NA,"Global"
"199","1766-07-01",13.555,2.341,NA,NA,NA,NA,NA,NA,"Global"
"200","1766-08-01",13.758,2.598,NA,NA,NA,NA,NA,NA,"Global"
"201","1766-09-01",12.25,2.855,NA,NA,NA,NA,NA,NA,"Global"
"202","1766-10-01",8.465,1.491,NA,NA,NA,NA,NA,NA,"Global"
"203","1766-11-01",7.454,3.774,NA,NA,NA,NA,NA,NA,"Global"
"204","1766-12-01",2.333,2.278,NA,NA,NA,NA,NA,NA,"Global"
"205","1767-01-01",-0.643,5.656,NA,NA,NA,NA,NA,NA,"Global"
"206","1767-02-01",3.932,4.973,NA,NA,NA,NA,NA,NA,"Global"
"207","1767-03-01",7.022,4.418,NA,NA,NA,NA,NA,NA,"Global"
"208","1767-04-01",6.278,3.557,NA,NA,NA,NA,NA,NA,"Global"
"209","1767-05-01",10.193,1.501,NA,NA,NA,NA,NA,NA,"Global"
"210","1767-06-01",14.112,1.426,NA,NA,NA,NA,NA,NA,"Global"
"211","1767-07-01",13.361,2.559,NA,NA,NA,NA,NA,NA,"Global"
"212","1767-08-01",14.597,1.466,NA,NA,NA,NA,NA,NA,"Global"
"213","1767-09-01",11.675,2.313,NA,NA,NA,NA,NA,NA,"Global"
"214","1767-10-01",9.027,1.611,NA,NA,NA,NA,NA,NA,"Global"
"215","1767-11-01",7.915,3.775,NA,NA,NA,NA,NA,NA,"Global"
"216","1767-12-01",1.189,2.297,NA,NA,NA,NA,NA,NA,"Global"
"217","1768-01-01",-2.08,3.027,NA,NA,NA,NA,NA,NA,"Global"
"218","1768-02-01",0.506,3.04,NA,NA,NA,NA,NA,NA,"Global"
"219","1768-03-01",2.446,2.157,NA,NA,NA,NA,NA,NA,"Global"
"220","1768-04-01",6.92,1.84,NA,NA,NA,NA,NA,NA,"Global"
"221","1768-05-01",9.066,2.433,NA,NA,NA,NA,NA,NA,"Global"
"222","1768-06-01",12.49,1.729,NA,NA,NA,NA,NA,NA,"Global"
"223","1768-07-01",13.875,2.552,NA,NA,NA,NA,NA,NA,"Global"
"224","1768-08-01",12.352,2.046,NA,NA,NA,NA,NA,NA,"Global"
"225","1768-09-01",10.824,1.504,NA,NA,NA,NA,NA,NA,"Global"
"226","1768-10-01",7.729,2.558,NA,NA,NA,NA,NA,NA,"Global"
"227","1768-11-01",4.581,2.02,NA,NA,NA,NA,NA,NA,"Global"
"228","1768-12-01",2.667,2.286,NA,NA,NA,NA,NA,NA,"Global"
"229","1769-01-01",2.305,3.76,NA,NA,NA,NA,NA,NA,"Global"
"230","1769-02-01",2.164,2.527,NA,NA,NA,NA,NA,NA,"Global"
"231","1769-03-01",4.57,2.225,NA,NA,NA,NA,NA,NA,"Global"
"232","1769-04-01",8.967,3.105,NA,NA,NA,NA,NA,NA,"Global"
"233","1769-05-01",12.873,1.753,NA,NA,NA,NA,NA,NA,"Global"
"234","1769-06-01",15.142,1.727,NA,NA,NA,NA,NA,NA,"Global"
"235","1769-07-01",14.461,3.669,NA,NA,NA,NA,NA,NA,"Global"
"236","1769-08-01",13.494,1.604,NA,NA,NA,NA,NA,NA,"Global"
"237","1769-09-01",11.25,1.598,NA,NA,NA,NA,NA,NA,"Global"
"238","1769-10-01",5.297,2.395,NA,NA,NA,NA,NA,NA,"Global"
"239","1769-11-01",2.79,2.267,NA,NA,NA,NA,NA,NA,"Global"
"240","1769-12-01",-0.978,2.291,NA,NA,NA,NA,NA,NA,"Global"
"241","1770-01-01",1.974,4.275,NA,NA,NA,NA,NA,NA,"Global"
"242","1770-02-01",4.105,4.129,NA,NA,NA,NA,NA,NA,"Global"
"243","1770-03-01",1.612,2.276,NA,NA,NA,NA,NA,NA,"Global"
"244","1770-04-01",9.788,3.516,NA,NA,NA,NA,NA,NA,"Global"
"245","1770-05-01",9.996,1.27,NA,NA,NA,NA,NA,NA,"Global"
"246","1770-06-01",11.884,3.395,NA,NA,NA,NA,NA,NA,"Global"
"247","1770-07-01",11.621,2.658,NA,NA,NA,NA,NA,NA,"Global"
"248","1770-08-01",11.413,3.14,NA,NA,NA,NA,NA,NA,"Global"
"249","1770-09-01",10.724,1.51,NA,NA,NA,NA,NA,NA,"Global"
"250","1770-10-01",8.661,1.603,NA,NA,NA,NA,NA,NA,"Global"
"251","1770-11-01",5.791,2.726,NA,NA,NA,NA,NA,NA,"Global"
"252","1770-12-01",4.734,2.87,NA,NA,NA,NA,NA,NA,"Global"
"253","1771-01-01",5.101,4.287,NA,NA,NA,NA,NA,NA,"Global"
"254","1771-02-01",-0.274,3.218,NA,NA,NA,NA,NA,NA,"Global"
"255","1771-03-01",2.814,3.237,NA,NA,NA,NA,NA,NA,"Global"
"256","1771-04-01",5.717,2.647,NA,NA,NA,NA,NA,NA,"Global"
"257","1771-05-01",9.626,3.088,NA,NA,NA,NA,NA,NA,"Global"
"258","1771-06-01",14.104,1.403,NA,NA,NA,NA,NA,NA,"Global"
"259","1771-07-01",13.828,1.435,NA,NA,NA,NA,NA,NA,"Global"
"260","1771-08-01",14.204,2.246,NA,NA,NA,NA,NA,NA,"Global"
"261","1771-09-01",11.363,1.515,NA,NA,NA,NA,NA,NA,"Global"
"262","1771-10-01",10.317,1.721,NA,NA,NA,NA,NA,NA,"Global"
"263","1771-11-01",4.916,2.952,NA,NA,NA,NA,NA,NA,"Global"
"264","1771-12-01",2.522,3.506,NA,NA,NA,NA,NA,NA,"Global"
"265","1772-01-01",1.253,4.624,NA,NA,NA,NA,NA,NA,"Global"
"266","1772-02-01",1.478,5.963,NA,NA,NA,NA,NA,NA,"Global"
"267","1772-03-01",3.057,2.206,NA,NA,NA,NA,NA,NA,"Global"
"268","1772-04-01",8.858,1.524,NA,NA,NA,NA,NA,NA,"Global"
"269","1772-05-01",9.531,1.844,NA,NA,NA,NA,NA,NA,"Global"
"270","1772-06-01",12.647,2.429,NA,NA,NA,NA,NA,NA,"Global"
"271","1772-07-01",14.581,1.409,NA,NA,NA,NA,NA,NA,"Global"
"272","1772-08-01",14.098,1.641,NA,NA,NA,NA,NA,NA,"Global"
"273","1772-09-01",10.303,1.334,NA,NA,NA,NA,NA,NA,"Global"
"274","1772-10-01",9.268,1.386,NA,NA,NA,NA,NA,NA,"Global"
"275","1772-11-01",7.736,2.582,NA,NA,NA,NA,NA,NA,"Global"
"276","1772-12-01",5.512,2.624,NA,NA,NA,NA,NA,NA,"Global"
"277","1773-01-01",-0.437,2.933,NA,NA,NA,NA,NA,NA,"Global"
"278","1773-02-01",1.421,3.021,NA,NA,NA,NA,NA,NA,"Global"
"279","1773-03-01",4.422,2.083,NA,NA,NA,NA,NA,NA,"Global"
"280","1773-04-01",9.415,2.095,NA,NA,NA,NA,NA,NA,"Global"
"281","1773-05-01",12.764,2.537,NA,NA,NA,NA,NA,NA,"Global"
"282","1773-06-01",12.811,1.259,NA,NA,NA,NA,NA,NA,"Global"
"283","1773-07-01",14.484,1.085,NA,NA,NA,NA,NA,NA,"Global"
"284","1773-08-01",13.624,1.162,NA,NA,NA,NA,NA,NA,"Global"
"285","1773-09-01",12.488,1.676,NA,NA,NA,NA,NA,NA,"Global"
"286","1773-10-01",9.206,1.874,NA,NA,NA,NA,NA,NA,"Global"
"287","1773-11-01",3.369,4.817,NA,NA,NA,NA,NA,NA,"Global"
"288","1773-12-01",5.091,3.787,NA,NA,NA,NA,NA,NA,"Global"
"289","1774-01-01",-0.325,4.557,NA,NA,NA,NA,NA,NA,"Global"
"290","1774-02-01",4.914,5.124,NA,NA,NA,NA,NA,NA,"Global"
"291","1774-03-01",5.643,2.779,NA,NA,NA,NA,NA,NA,"Global"
"292","1774-04-01",10.153,3.849,NA,NA,NA,NA,NA,NA,"Global"
"293","1774-05-01",16.025,2.535,NA,NA,NA,NA,NA,NA,"Global"
"294","1774-06-01",15.371,3.891,NA,NA,NA,NA,NA,NA,"Global"
"295","1774-07-01",16.521,3.806,NA,NA,NA,NA,NA,NA,"Global"
"296","1774-08-01",14.099,1.947,NA,NA,NA,NA,NA,NA,"Global"
"297","1774-09-01",10.936,2.115,NA,NA,NA,NA,NA,NA,"Global"
"298","1774-10-01",8.59,2.625,NA,NA,NA,NA,NA,NA,"Global"
"299","1774-11-01",3.029,4.483,NA,NA,NA,NA,NA,NA,"Global"
"300","1774-12-01",0.31,3.271,NA,NA,NA,NA,NA,NA,"Global"
"301","1775-01-01",4.261,3.435,NA,NA,NA,NA,NA,NA,"Global"
"302","1775-02-01",6.427,3.139,NA,NA,NA,NA,NA,NA,"Global"
"303","1775-03-01",7.759,2.394,NA,NA,NA,NA,NA,NA,"Global"
"304","1775-04-01",7.952,1.538,NA,NA,NA,NA,NA,NA,"Global"
"305","1775-05-01",11.399,1.846,NA,NA,NA,NA,NA,NA,"Global"
"306","1775-06-01",12.314,2.805,NA,NA,NA,NA,NA,NA,"Global"
"307","1775-07-01",14.719,1.058,NA,NA,NA,NA,NA,NA,"Global"
"308","1775-08-01",14.435,1.093,NA,NA,NA,NA,NA,NA,"Global"
"309","1775-09-01",11.096,1.459,NA,NA,NA,NA,NA,NA,"Global"
"310","1775-10-01",10.372,2.116,NA,NA,NA,NA,NA,NA,"Global"
"311","1775-11-01",8.179,4.56,NA,NA,NA,NA,NA,NA,"Global"
"312","1775-12-01",1.284,2.404,NA,NA,NA,NA,NA,NA,"Global"
"313","1776-01-01",-0.806,4.467,NA,NA,NA,NA,NA,NA,"Global"
"314","1776-02-01",4.825,3.762,NA,NA,NA,NA,NA,NA,"Global"
"315","1776-03-01",4.652,2.388,NA,NA,NA,NA,NA,NA,"Global"
"316","1776-04-01",7.44,1.404,NA,NA,NA,NA,NA,NA,"Global"
"317","1776-05-01",10.475,5.237,NA,NA,NA,NA,NA,NA,"Global"
"318","1776-06-01",14.564,2.433,NA,NA,NA,NA,NA,NA,"Global"
"319","1776-07-01",14.108,1.303,NA,NA,NA,NA,NA,NA,"Global"
"320","1776-08-01",14.837,3.437,NA,NA,NA,NA,NA,NA,"Global"
"321","1776-09-01",10.602,2.065,NA,NA,NA,NA,NA,NA,"Global"
"322","1776-10-01",8.06,2.152,NA,NA,NA,NA,NA,NA,"Global"
"323","1776-11-01",5.87,2.788,NA,NA,NA,NA,NA,NA,"Global"
"324","1776-12-01",5.021,2.934,NA,NA,NA,NA,NA,NA,"Global"
"325","1777-01-01",6.021,3.11,NA,NA,NA,NA,NA,NA,"Global"
"326","1777-02-01",4.919,5.268,NA,NA,NA,NA,NA,NA,"Global"
"327","1777-03-01",5.572,2.307,NA,NA,NA,NA,NA,NA,"Global"
"328","1777-04-01",6.362,1.401,NA,NA,NA,NA,NA,NA,"Global"
"329","1777-05-01",11.389,2.117,NA,NA,NA,NA,NA,NA,"Global"
"330","1777-06-01",12.323,1.607,NA,NA,NA,NA,NA,NA,"Global"
"331","1777-07-01",12.743,1.078,NA,NA,NA,NA,NA,NA,"Global"
"332","1777-08-01",12.815,1.269,NA,NA,NA,NA,NA,NA,"Global"
"333","1777-09-01",11.379,2.692,NA,NA,NA,NA,NA,NA,"Global"
"334","1777-10-01",6.956,3.464,NA,NA,NA,NA,NA,NA,"Global"
"335","1777-11-01",5.529,2.276,NA,NA,NA,NA,NA,NA,"Global"
